	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
197	MS-all-DCM-0-8-5-00_bin-636	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	MS-all	DCM	0-8-5-00
198	SPO-all-SRF-180-2000-00_bin-69	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	180-2000-00
199	IO-all-SRF-20-180-00_bin-71	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
200	SPO-all-SRF-0-8-5-00_bin-1028		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	SPO-all	SRF	0-8-5-00
201	SPO-all-SRF-20-180-00_bin-185	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	20-180-00
202	RS-all-SRF-20-180-00_bin-20	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				RS-all	SRF	20-180-00
203	SPO-all-SRF-0-8-5-00_bin-867	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-all	SRF	0-8-5-00
204	SPO-all-SRF-180-2000-00_bin-214	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	180-2000-00
205	MS-all-SRF-0-8-5-00_bin-677		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium	Alexandrium tamarense	MS-all	SRF	0-8-5-00
206	SAO-all-SRF-20-180-00_bin-53	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SAO-all	SRF	20-180-00
207	MS-all-SRF-20-180-00_bin-65	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	20-180-00
208	IO-all-DCM-180-2000-00_bin-20	Metazoa	Opisthokonta	Chordata	Aves						IO-all	DCM	180-2000-00
209	RS-all-SRF-0-8-5-00_bin-105	Viridiplantae		Chlorophyta				Pycnococcaceae	Pycnococcus		RS-all	SRF	0-8-5-00
210	SPO-SPSG-SRF-20-180-00_bin-153	Metazoa	Opisthokonta	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	Aplysia	Aplysia californica	SPO-SPSG	SRF	20-180-00
211	SPO-all-SRF-180-2000-00_bin-164	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
212	NAO-all-SRF-0-8-5-00_bin-152		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		NAO-all	SRF	0-8-5-00
213	SO-all-SRF-0-8-5-00_bin-31		Sar	Bacillariophyta	Coscinodiscophyceae						SO-all	SRF	0-8-5-00
214	SPO-all-SRF-20-180-00_bin-52	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-all	SRF	20-180-00
215	IO-all-DCM-20-180-00_bin-105	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	DCM	20-180-00
216	NPO-all-SRF-20-180-00_bin-76	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae		Chlorodendrales	Chlorodendraceae	Tetraselmis		NPO-all	SRF	20-180-00
217	SPO-SPSG-SRF-20-180-00_bin-99	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
218	NPO-all-SRF-180-2000-00_bin-22	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	180-2000-00
219	SAO-all-DCM-0-8-5-00_bin-594		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SAO-all	DCM	0-8-5-00
220	SAO-all-SRF-0-8-5-00_bin-546	Viridiplantae		Chlorophyta	Mamiellophyceae		Dolichomastigales	Pycnococcaceae	Pycnococcus	Pycnococcus provasolii	SAO-all	SRF	0-8-5-00
221	SPO-all-SRF-0-8-5-00_bin-25	Viridiplantae	core chlorophytes	Chlorophyta	Chlorodendrophyceae		Chlorodendrales	Chlorodendraceae	Tetraselmis	Tetraselmis striata	SPO-all	SRF	0-8-5-00
222	IO-all-SRF-5-20-00_bin-65	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae		Chlorodendrales	Chlorodendraceae	Picochlorum		IO-all	SRF	5-20-00
223	SAO-all-SRF-20-180-00_bin-20	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae	Anopheles		SAO-all	SRF	20-180-00
224	SPO-all-DCM-0-8-5-00_bin-138	Viridiplantae	core chlorophytes	Chlorophyta				Pycnococcaceae	Pycnococcus		SPO-all	DCM	0-8-5-00
225	SO-all-DCM-0-8-5-00_bin-74		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SO-all	DCM	0-8-5-00
226	SAO-all-DCM-20-180-00_bin-16	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	DCM	20-180-00
227	SPO-all-SRF-180-2000-00_bin-289	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
228	IO-all-DCM-20-180-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae			IO-all	DCM	20-180-00
229	NAO-all-SRF-180-2000-00_bin-33	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	SRF	180-2000-00
230	SPO-SPSG-SRF-180-2000-00_bin-129	Metazoa	Opisthokonta	Chordata	Aves						SPO-SPSG	SRF	180-2000-00
231	MS-all-SRF-0-8-5-00_bin-333		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	MS-all	SRF	0-8-5-00
232	SPO-SPSG-SRF-20-180-00_bin-38	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	20-180-00
233	IO-all-SRF-0-8-5-00_bin-166		Sar	Bacillariophyta	Dictyochophyceae		Florenciellales		Florenciella	Florenciella parvula	IO-all	SRF	0-8-5-00
234	MS-all-SRF-0-8-5-00_bin-196		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	MS-all	SRF	0-8-5-00
235	IO-all-SRF-20-180-00_bin-128	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				IO-all	SRF	20-180-00
236	SAO-all-SRF-180-2000-00_bin-33	Metazoa	Opisthokonta	Chordata	Aves						SAO-all	SRF	180-2000-00
237	NAO-all-SRF-0-8-5-00_bin-550	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	NAO-all	SRF	0-8-5-00
238	SAO-all-SRF-0-8-5-00_bin-590		Sar	Bacillariophyta	Dictyochophyceae		Pedinellales		Florenciella	Pteridomonas danica	SAO-all	SRF	0-8-5-00
239	NAO-all-MIX-180-2000-00_bin-12	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	MIX	180-2000-00
