ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
NAO-all-DCM-20-180-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	DCM	20-180-00
SPO-all-DCM-180-2000-00_bin-31	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-all	DCM	180-2000-00
IO-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
IO-all-SRF-0-8-5-00_bin-298	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	SRF	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-300	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	NAO-all	SRF	0-8-5-00
MS-all-SRF-0-8-5-00_bin-318	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	MS-all	SRF	0-8-5-00
NAO-all-MIX-0-8-5-00_bin-275	.	Sar	Bacillariophyta	Bolidophyceae	.	Parmales	Triparmaceae	Bolidomonas	Triparma pacifica	NAO-all	MIX	0-8-5-00
NAO-all-MIX-20-180-00_bin-57	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	MIX	20-180-00
SPO-all-SRF-180-2000-00_bin-31	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
NAO-all-MIX-20-180-00_bin-20	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	MIX	20-180-00
NAO-all-SRF-180-2000-00_bin-81	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	SRF	180-2000-00
IO-all-DCM-20-180-00_bin-62	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	IO-all	DCM	20-180-00
IO-all-SRF-180-2000-00_bin-96	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	IO-all	SRF	180-2000-00
SO-all-DCM-0-8-5-00_bin-52	.	Sar	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis cylindrus	SO-all	DCM	0-8-5-00
SAO-all-DCM-20-180-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SAO-all	DCM	20-180-00
MS-all-DCM-0-8-5-00_bin-224	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	MS-all	DCM	0-8-5-00
IO-all-SRF-20-180-00_bin-53	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
SAO-all-SRF-0-8-5-00_bin-71	.	Sar	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	SAO-all	SRF	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-307	.	Sar	Bacillariophyta	Dictyochophyceae	.	Florenciellales	.	Florenciella	Florenciella parvula	NAO-all	SRF	0-8-5-00
SAO-all-SRF-20-180-00_bin-71	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	SRF	20-180-00
SPO-SPSG-SRF-180-2000-00_bin-172	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-SPSG	SRF	180-2000-00
SPO-all-SRF-20-180-00_bin-134	.	Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Rhabdonellidae	Schmidingerella	Schmidingerella taraikaensis	SPO-all	SRF	20-180-00
SPO-all-SRF-0-8-5-00_bin-838	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	Lingulodinium polyedra	SPO-all	SRF	0-8-5-00
IO-all-DCM-0-8-5-00_bin-230	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	DCM	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-218	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	DCM	0-8-5-00
MS-all-DCM-0-8-5-00_bin-323	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	MS-all	DCM	0-8-5-00
NAO-all-DCM-5-20-00_bin-6	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	DCM	5-20-00
SPO-SPSG-SRF-20-180-00_bin-26	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Tephritidae	Rhagoletis	Rhagoletis zephyria	SPO-SPSG	SRF	20-180-00
SAO-all-DCM-0-8-5-00_bin-43	Viridiplantae	.	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	.	SAO-all	DCM	0-8-5-00
SPO-SPSG-SRF-180-2000-00_bin-35	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	180-2000-00
SAO-all-DCM-0-8-5-00_bin-182	.	.	.	Cryptophyceae	.	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SAO-all	DCM	0-8-5-00
IO-all-SRF-0-8-5-00_bin-548	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	IO-all	SRF	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-716	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SPO-all	SRF	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-761	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-all	SRF	0-8-5-00
SPO-PEOD-SRF-20-180-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-PEOD	SRF	20-180-00
IO-all-SRF-5-20-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	5-20-00
SPO-PEOD-DCM-20-180-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-PEOD	DCM	20-180-00
