old_mag_name	new_mag_name
MS-all-SRF-0-8-5-00_bin-131	TOPAZ_MSS1_E003
MS-all-SRF-0-8-5-00_bin-158	TOPAZ_MSS1_E004
MS-all-SRF-0-8-5-00_bin-16	TOPAZ_MSS1_E005
MS-all-SRF-0-8-5-00_bin-161	TOPAZ_MSS1_E006
MS-all-SRF-0-8-5-00_bin-172	TOPAZ_MSS1_E007
MS-all-SRF-0-8-5-00_bin-196	TOPAZ_MSS1_E008
MS-all-SRF-0-8-5-00_bin-198	TOPAZ_MSS1_E009
MS-all-SRF-0-8-5-00_bin-226	TOPAZ_MSS1_E010
MS-all-SRF-0-8-5-00_bin-250	TOPAZ_MSS1_E011
MS-all-SRF-0-8-5-00_bin-251	TOPAZ_MSS1_E012
MS-all-SRF-0-8-5-00_bin-263	TOPAZ_MSS1_E013
MS-all-SRF-0-8-5-00_bin-298	TOPAZ_MSS1_E014
MS-all-SRF-0-8-5-00_bin-310	TOPAZ_MSS1_E015
MS-all-SRF-0-8-5-00_bin-318	TOPAZ_MSS1_E016
MS-all-SRF-0-8-5-00_bin-333	TOPAZ_MSS1_E017
MS-all-SRF-0-8-5-00_bin-405	TOPAZ_MSS1_E018
MS-all-SRF-0-8-5-00_bin-410	TOPAZ_MSS1_E019
MS-all-SRF-0-8-5-00_bin-425	TOPAZ_MSS1_E020
MS-all-SRF-0-8-5-00_bin-426	TOPAZ_MSS1_E021
MS-all-SRF-0-8-5-00_bin-464	TOPAZ_MSS1_E022
MS-all-SRF-0-8-5-00_bin-479	TOPAZ_MSS1_E023
MS-all-SRF-0-8-5-00_bin-542	TOPAZ_MSS1_E024
MS-all-SRF-0-8-5-00_bin-580	TOPAZ_MSS1_E025
MS-all-SRF-0-8-5-00_bin-582	TOPAZ_MSS1_E026
MS-all-SRF-0-8-5-00_bin-584	TOPAZ_MSS1_E027
MS-all-SRF-0-8-5-00_bin-588	TOPAZ_MSS1_E028
MS-all-SRF-0-8-5-00_bin-630	TOPAZ_MSS1_E029
MS-all-SRF-0-8-5-00_bin-661	TOPAZ_MSS1_E030
MS-all-SRF-0-8-5-00_bin-677	TOPAZ_MSS1_E031
MS-all-SRF-0-8-5-00_bin-93	TOPAZ_MSS1_E032
MS-all-DCM-180-2000-00_bin-14	TOPAZ_MSD4_E001
MS-all-DCM-180-2000-00_bin-15	TOPAZ_MSD4_E002
MS-all-DCM-180-2000-00_bin-18	TOPAZ_MSD4_E003
MS-all-DCM-180-2000-00_bin-37	TOPAZ_MSD4_E004
MS-all-DCM-180-2000-00_bin-45	TOPAZ_MSD4_E005
MS-all-SRF-180-2000-00_bin-103	TOPAZ_MSS4_E001
MS-all-SRF-180-2000-00_bin-111	TOPAZ_MSS4_E002
MS-all-SRF-180-2000-00_bin-24	TOPAZ_MSS4_E003
MS-all-SRF-180-2000-00_bin-26	TOPAZ_MSS4_E004
MS-all-SRF-180-2000-00_bin-27	TOPAZ_MSS4_E005
MS-all-SRF-180-2000-00_bin-37	TOPAZ_MSS4_E006
MS-all-SRF-180-2000-00_bin-53	TOPAZ_MSS4_E007
